trip,timestamp,longitude,latitude,fsd_active,video_on,fsd_event,source_file,speed_kmh,elevation_m,temperature_c,humidity_percent,pressure_hpa,weather_condition,wind_speed_kmh,wind_direction_degrees
0,2025-07-27 09:22:26,-118.59660929312614,34.18502367292392,True,False,,trip_log_Day1_iPhone.csv,,264.0,27.490951230638725,43.96732365477115,1016.5247914226235,Partly Cloudy,10.21881359722768,171.18759752435653
0,2025-07-27 09:22:27,-118.59660929312614,34.18502367292392,False,False,,trip_log_Day1_iPhone.csv,0.0,264.08672798948754,27.490951230638725,43.96732365477115,1016.5247914226235,Partly Cloudy,10.21881359722768,171.18759752435653
1,2025-07-27 11:27:08,-118.34264982154632,34.091550704663966,False,False,,trip_log_Day1_iPhone.csv,12.326951188244438,264.173455978975,27.945149422173927,32.68570910087685,1014.2963775306212,Partly Cloudy,17.67217372911078,196.09968214932775
1,2025-07-27 11:27:09,-118.34265284694855,34.09154189334881,False,True,,trip_log_Day1_iPhone.csv,3.659339152495905,264.26018396846257,27.945149422173927,32.68570910087685,1014.2963775306212,Partly Cloudy,17.67217372911078,196.09968214932775
1,2025-07-27 11:27:10,-118.34265732268118,34.09153527088741,False,True,,trip_log_Day1_iPhone.csv,3.03390380735225,264.34691195795006,27.945149422173927,32.68570910087685,1014.2963775306212,Partly Cloudy,17.67217372911078,196.09968214932775
1,2025-07-27 11:27:11,-118.34265793065616,34.09153167320371,False,True,,trip_log_Day1_iPhone.csv,1.4507802912306518,264.4336399474376,27.945149422173927,32.68570910087685,1014.2963775306212,Partly Cloudy,17.67217372911078,196.09968214932775
1,2025-07-27 11:27:12,-118.34265277106572,34.09152353814783,False,True,,trip_log_Day1_iPhone.csv,3.6730619631230317,264.5203679369251,27.945149422173927,32.68570910087685,1014.2963775306212,Partly Cloudy,17.67217372911078,196.09968214932775
1,2025-07-27 11:27:13,-118.34265701623464,34.0915211854455,False,True,,trip_log_Day1_iPhone.csv,1.6946331850976541,264.6070959264126,27.945149422173927,32.68570910087685,1014.2963775306212,Partly Cloudy,17.67217372911078,196.09968214932775
1,2025-07-27 11:27:14,-118.3426580070974,34.09152112444139,False,True,,trip_log_Day1_iPhone.csv,0.3300925958156559,264.6938239159001,27.945149422173927,32.68570910087685,1014.2963775306212,Partly Cloudy,17.67217372911078,196.09968214932775
1,2025-07-27 11:27:15,-118.3426580070974,34.09152112444139,False,True,,trip_log_Day1_iPhone.csv,0.0,264.78055190538765,27.945149422173927,32.68570910087685,1014.2963775306212,Partly Cloudy,17.67217372911078,196.09968214932775
1,2025-07-27 11:27:16,-118.3426580070974,34.09152112444139,False,True,,trip_log_Day1_iPhone.csv,0.0,264.86727989487514,27.945149422173927,32.68570910087685,1014.2963775306212,Partly Cloudy,17.67217372911078,196.09968214932775
1,2025-07-27 11:27:17,-118.3426580070974,34.09152112444139,False,True,,trip_log_Day1_iPhone.csv,0.0,264.9540078843627,27.945149422173927,32.68570910087685,1014.2963775306212,Partly Cloudy,17.67217372911078,196.09968214932775
1,2025-07-27 11:27:18,-118.3426580070974,34.09152112444139,False,True,,trip_log_Day1_iPhone.csv,0.0,265.0407358738502,27.945149422173927,32.68570910087685,1014.2963775306212,Partly Cloudy,17.67217372911078,196.09968214932775
1,2025-07-27 11:27:19,-118.3426580070974,34.09152112444139,False,True,,trip_log_Day1_iPhone.csv,0.0,265.1274638633377,27.945149422173927,32.68570910087685,1014.2963775306212,Partly Cloudy,17.67217372911078,196.09968214932775
1,2025-07-27 11:27:20,-118.3426580070974,34.09152112444139,False,True,,trip_log_Day1_iPhone.csv,0.0,265.21419185282525,27.945149422173927,32.68570910087685,1014.2963775306212,Partly Cloudy,17.67217372911078,196.09968214932775
1,2025-07-27 11:27:21,-118.3426580070974,34.09152112444139,False,True,,trip_log_Day1_iPhone.csv,0.0,265.30091984231274,27.945149422173927,32.68570910087685,1014.2963775306212,Partly Cloudy,17.67217372911078,196.09968214932775
1,2025-07-27 11:27:22,-118.3426580070974,34.09152112444139,False,True,,trip_log_Day1_iPhone.csv,0.0,265.3876478318003,27.945149422173927,32.68570910087685,1014.2963775306212,Partly Cloudy,17.67217372911078,196.09968214932775
